OBJECTID,Route_Number,Route_Name,Ridership_Total,Route_Hour,Route_Hour_Description,Route_Date
1273368,1,Spring Garden,73,18.50,6:30pm to 6:59pm,2017-12-24 10:00:00.0000000
1273369,10,Dalhousie,0,18.50,6:30pm to 6:59pm,2017-12-24 10:00:00.0000000
1273370,21,Lakeside - Timberlea,1,18.50,6:30pm to 6:59pm,2017-12-24 10:00:00.0000000
1273371,22,Armdale,0,18.50,6:30pm to 6:59pm,2017-12-24 10:00:00.0000000
1273372,53,Notting Park,27,18.50,6:30pm to 6:59pm,2017-12-24 10:00:00.0000000
1273373,56,Dartmouth Crossing,6,18.50,6:30pm to 6:59pm,2017-12-24 10:00:00.0000000
1273374,57,Russell Lake,2,18.50,6:30pm to 6:59pm,2017-12-24 10:00:00.0000000
1273375,58,Woodlawn,12,18.50,6:30pm to 6:59pm,2017-12-24 10:00:00.0000000
1273376,59,Colby,9,18.50,6:30pm to 6:59pm,2017-12-24 10:00:00.0000000
1273377,52,Crosstown,85,17.00,5:00pm to 5:29pm,2017-12-26 10:00:00.0000000
1273378,54,Montebello,7,17.00,5:00pm to 5:29pm,2017-12-26 10:00:00.0000000
1273379,55,Port Wallace,3,17.00,5:00pm to 5:29pm,2017-12-26 10:00:00.0000000
1273380,57,Russell Lake,4,17.00,5:00pm to 5:29pm,2017-12-26 10:00:00.0000000
1273381,60,Eastern Passage - Heritag,43,17.00,5:00pm to 5:29pm,2017-12-26 10:00:00.0000000
1273382,7,Robie,32,17.00,5:00pm to 5:29pm,2017-12-26 10:00:00.0000000
1273383,72,Portland Hills,6,17.00,5:00pm to 5:29pm,2017-12-26 10:00:00.0000000
1273384,15,Purcells Cove,5,17.50,5:30pm to 5:59pm,2017-12-26 10:00:00.0000000
1273385,2,Wedgewood,36,17.50,5:30pm to 5:59pm,2017-12-26 10:00:00.0000000
1273386,22,Armdale,8,17.50,5:30pm to 5:59pm,2017-12-26 10:00:00.0000000
1273387,29,Barrington,20,17.50,5:30pm to 5:59pm,2017-12-26 10:00:00.0000000
1273388,55,Port Wallace,10,17.50,5:30pm to 5:59pm,2017-12-26 10:00:00.0000000
